action,ticker,quantity,price,state,date,type,time_in_force,category,opening_strategy,closing_strategy,total,account
debit,AMC,1.0,675.0,filled,2021-06-02 18:18:51.371379+00:00,limit,gfd,options,long_put,,675.0,ROBINHOOD
credit,MSFT,5.0,246.21,filled,2021-06-02 18:17:34.651000+00:00,market,gfd,stock,,,1231.05,ROBINHOOD
credit,NEP,5.0,0.6375,paid,2021-05-14 00:00:00,,,dividends,,,3.1875,ROBINHOOD
debit,UFO,1.0,45.0,filled,2021-05-11 15:19:15.414075+00:00,limit,gfd,options,long_call,,45.0,ROBINHOOD
debit,UFO,5.0,29.154,filled,2021-05-11 14:06:59.220000+00:00,limit,gfd,stock,,,145.77,ROBINHOOD
debit,ETHUSD,0.004321,3469.394471,filled,2021-05-05 23:04:27.122000-04:00,market,gtc,crypto,,,14.991253509191,ROBINHOOD
debit,DOGEUSD,76.0,0.648466,filled,2021-05-05 23:04:02.309000-04:00,limit,gtc,crypto,,,49.283416,ROBINHOOD
debit,SPOT,4.0,238.37,filled,2021-05-05 14:36:44.680000+00:00,market,gfd,stock,,,953.48,ROBINHOOD
credit,QQQ,3.0,0.39468,paid,2021-04-30 00:00:00,,,dividends,,,1.18404,ROBINHOOD
credit,GE,3.0,0.01,paid,2021-04-26 00:00:00,,,dividends,,,0.03,ROBINHOOD
credit,SPYG,6.0,0.114768,paid,2021-03-25 00:00:00,,,dividends,,,0.688608,ROBINHOOD
credit,MSFT,10.0,0.56,paid,2021-03-11 00:00:00,,,dividends,,,5.6000000000000005,ROBINHOOD
credit,PFE,20.0,0.39,paid,2021-03-05 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
credit,NEP,5.0,0.615,paid,2021-02-12 00:00:00,,,dividends,,,3.075,ROBINHOOD
debit,GE,1.0,18.0,filled,2021-02-05 14:57:38.460254+00:00,limit,gfd,options,long_put,,18.0,ROBINHOOD
debit,GE,5.0,7.0,filled,2021-02-05 14:56:20.824813+00:00,limit,gfd,options,long_put,,35.0,ROBINHOOD
debit,SPYG,6.0,57.575,filled,2021-02-05 14:54:06.808000+00:00,market,gfd,stock,,,345.45000000000005,ROBINHOOD
credit,AMC,54.0,7.27,filled,2021-02-05 14:52:30.798000+00:00,market,gfd,stock,,,392.58,ROBINHOOD
